end_date,market_value
1996-01-01,1000000
1996-01-21,1003590.7
1996-02-18,1020348.21
1996-03-17,1025236.65
1996-04-21,1028598.59
1996-05-22,1042817.2599999999
1996-06-23,1030290.1899999998
1996-07-21,1021771.2299999999
1996-08-18,1038972.1199999999
1996-09-22,1056451.94
1996-10-20,1053332.29
1996-11-17,1059683.1900000002
1996-12-22,1079238.2700000003
1997-02-09,1085529.4200000002
1997-02-23,1089074.32
1997-03-23,1080220.6800000002
1997-04-20,1089904.3500000003
1997-05-18,1104327.1100000003
1997-06-22,1110875.1600000004
1997-07-20,1122587.7700000005
1997-08-17,1122650.4300000004
1997-09-21,1134462.4700000004
1997-10-19,1154272.6300000004
1997-11-23,1143574.9500000004
1997-12-21,1130414.0900000003
1998-01-18,1142276.5900000003
1998-02-22,1155569.1500000001
1998-03-22,1151234.34
1998-04-19,1168761.34
1998-05-17,1157516.8
1998-06-21,1128029.41
1998-07-19,1120667.4599999997
1998-08-23,1080673.7999999998
1998-09-20,1041531.7999999998
1998-10-18,1041526.2399999999
1998-11-22,1071223.6299999997
1998-12-20,1068148.7399999998
1999-01-17,1079211.6499999997
1999-02-21,1070914.4299999995
1999-03-21,1033113.5699999995
1999-04-18,1047771.2399999995
1999-05-25,1052547.0299999996
