market_value,end_date
1000000,2005-01-01
2005-02-20,1026028.12
2005-04-17,1041310.63
2005-05-22,1065566.59
2005-06-23,1089024.6199999999
2005-07-20,1113831.67
2005-08-26,1103477.3499999999
2005-10-23,1102844.5399999998
2005-11-27,1125773.0899999996
2006-01-22,1158404.5199999996
2006-02-23,1164984.5799999996
2006-03-26,1180110.0599999996
2006-04-28,1187677.5899999996
2006-06-18,1105681.5099999995
2006-07-23,1119600.3799999997
2006-08-29,1148861.6899999995
2006-10-22,1185595.3099999994
2006-11-23,1215163.1499999992
2007-01-21,1238972.429999999
2007-02-22,1270378.689999999
2007-03-30,1245273.699999999
2007-05-20,1286469.679999999
2007-06-24,1301819.9799999988
2007-07-26,1304615.119999999
2007-08-29,1311208.109999999
2007-10-21,1341097.499999999
2007-11-23,1323209.639999999
2007-12-31,1369186.329999999
2008-02-17,1372164.569999999
2008-03-25,1341747.6499999987
2008-05-18,1375688.1499999987
2008-06-22,1346078.1299999987
2008-07-25,1349325.6799999988
2008-09-21,1394880.079999999
2008-10-22,979817.7799999989
2008-11-23,920351.7199999989
2009-01-18,1030188.809999999
2009-02-22,1066345.259999999
2009-03-22,1137974.589999999
2009-04-27,1203854.2899999989
2009-06-21,1305175.839999999
2009-07-19,1371156.419999999
2009-08-23,1425126.169999999
2009-09-21,1473106.599999999
2009-10-19,1499918.629999999
2009-11-22,1493377.419999999
2010-01-17,1538054.399999999
2010-02-21,1475791.059999999
2010-03-23,1502642.2299999988
2010-04-25,1514268.5299999989
2010-05-28,1408193.489999999
2010-07-18,1410068.919999999
2010-08-22,1426242.7099999988
2010-09-24,1473581.5499999989
2010-11-21,1516224.329999999
2010-12-24,1539351.9899999988
2011-01-27,1541608.859999999
2011-03-20,1570202.149999999
2011-04-20,1579240.899999999
2011-05-23,1574144.129999999
2011-06-21,1570885.589999999
2011-07-20,1567614.6399999987
2011-08-25,1410263.8199999987
2011-09-18,1471255.9299999988
2011-10-24,1531163.829999999
2011-11-22,1501979.649999999
2011-12-21,1526160.3099999991
2012-01-26,1539516.6499999992
2012-03-18,1564241.4999999993
2012-04-23,1491319.4799999993
2012-05-24,1371674.9999999993
2012-06-20,1378543.2699999993
2012-07-23,1376353.5499999993
2012-08-20,1439200.4799999993
2012-09-23,1428244.7999999993
2012-10-23,1395945.1599999995
2012-11-18,1386061.3899999994
2012-12-23,1426923.4099999995
2013-01-21,1435491.2999999996
2013-03-17,1437771.7599999995
2013-04-21,1440040.1099999996
2013-05-19,1476374.8099999996
2013-06-23,1441292.9299999995
2013-07-22,1478908.3899999994
2013-08-18,1505780.9099999995
2013-09-23,1526774.3499999996
2013-10-20,1554012.7999999996
2013-11-17,1595520.0199999998
2013-12-22,1623055.94
2014-01-22,1632286.6199999999
2014-02-24,1658479.8599999999
2014-03-27,1680501.06
2014-05-15,1713660.0899999999
2014-06-22,1763421.43
2014-07-24,1742075.59
2014-08-21,1740963.49
2014-09-26,1705166.4400000002
2014-11-17,1702816.5
2014-12-23,1676116.3699999999
2015-01-23,1672610.2699999998
2015-02-25,1713706.7099999997
2015-04-08,1701787.8399999999
2015-05-16,1736824.8099999998
2015-06-24,1713170.4799999997
2015-07-29,1646913.1599999997
2015-09-09,1616292.7999999998
2015-10-17,1639833.74
2015-11-23,1603391.14
2016-01-07,1584978.5
